FID,id,codigo,simt,tipo,clasificac,comuna,zona,eje,desde,hacia,sentido,fila_super,fila_infer,grupo_de_p,identifica,nombre_ust,x,y,zona_paga,n__et,corredor,ubica_corr,rts,tipo_rts,rm,estado_rm,estado,existe_se,codigo_ant,fecha_fich,cod_sol_pa,comentario
2035,2824,L-13-49-15-SN,PI581,PS,ACTIVO,MAIPé,I,LAS GOLONDRINAS (O),CRISTOBAL RUIZ,LOS PRESIDENTES,S-N,LOS PRESIDENTES,LAS GOLONDRINAS (O),-,-,LOS PRESIDENTES / LAS GOLONDRINAS (O),338598.07,6293174.86,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,10817,
2036,2825,L-13-50-5-OP,PI598,PS,ACTIVO,MAIPé,I,LAS GOLONDRINAS (P),STA ROSA,LOS CANCILLERES,O-P,LOS CANCILLERES,LAS GOLONDRINAS (P),-,-,LOS CANCILLERES / LAS GOLONDRINAS (P),338538.91,6293530.36,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Sept/2011-Reposici¢n,,,7083,
2037,2826,L-13-50-10-NS,PI599,PS,ACTIVO,MAIPé,I,LAS GOLONDRINAS (P),LOS CANCILLERES,LOS MINISTROS,N-S,LOS MINISTROS,LAS GOLONDRINAS (P),-,-,LOS MINISTROS / LAS GOLONDRINAS (P),338490.67,6293328.79,0,,,,,,0,,SàLO SE¥AL,UC-Sept/2011-Reposici¢n,,,7082,
2038,2827,L-13-50-15-NS,PI600,PS,ACTIVO,MAIPé,I,LAS GOLONDRINAS (P),LOS MINISTROS,LOS PRESIDENTES,N-S,LOS PRESIDENTES,LAS GOLONDRINAS (P),-,-,LOS PRESIDENTES / LAS GOLONDRINAS (P),338484.83,6293218.98,0,,,,,,0,,SàLO SE¥AL,UC-Oct/2011-Reposici¢n,,,3896,
2039,2828,L-13-52-5-SN,,PS,INACTIVO,MAIPé,I,AV. LAS NACIONES,PJE SOLIDARIO,CAMINO A RINCONADA,S-N,C. A RINCONADA,AV. LAS NACIONES,-,-,C. A RINCONADA / AV. LAS NACIONES,334284.56,6291041.1,0,,,,1,Refugio 4(m),0,,CON REFUGIO,,,,,
2040,2829,L-13-52-10-SN,,PS,INACTIVO,MAIPé,I,AV. LAS NACIONES,PLATENSE,JOSE MANUEL BORGONO,S-N,BORGO¥O,AV. LAS NACIONES,-,-,BORGO¥O / AV. LAS NACIONES,334289.77,6290782.14,0,,,,1,Refugio 4(m),0,,CON REFUGIO,,,,,
2041,2830,L-13-52-15-SN,,PS,INACTIVO,MAIPé,I,AV. LAS NACIONES,SAMBA,TANGO,S-N,TANGO,AV. LAS NACIONES,-,-,TANGO / AV. LAS NACIONES,334258.45,6290550.8,0,,,,,,0,,SIN REFUGIO,,,,,
2042,2831,L-13-52-20-SN,,PS,INACTIVO,MAIPé,I,AV. LAS NACIONES,SEQUION,LOS ZARZALES,S-N,LOS ZARZALES,AV. LAS NACIONES,-,-,LOS ZARZALES / AV. LAS NACIONES,334231.24,6290323.67,0,,,,1,Refugio 4(m),0,,CON REFUGIO,,,,,
2043,2832,L-13-52-25-NS,PI188,PS,INACTIVO,MAIPé,I,AV. LAS NACIONES,CHINQUIHUE,EL HUASO,N-S,EL HUASO,AV. LAS NACIONES,-,-,EL HUASO / AV. LAS NACIONES,334180.68,6290236.53,0,,,,1,Refugio 4(m),0,,CON REFUGIO,,,,,
2044,2833,L-13-52-30-SN,PI796,PS,ACTIVO,MAIPé,I,AV. LAS NACIONES,CULLIPEUMO,LAS TINAJAS,S-N,LAS TINAJAS,AV. LAS NACIONES,-,-,LAS TINAJAS / AV. LAS NACIONES,334199.18,6290092.52,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2045,2834,L-13-52-35-NS,PI189,PS,ACTIVO,MAIPé,I,AV. LAS NACIONES,SAN ALVARO,SAN JOS,N-S,SAN JOS,AV. LAS NACIONES,-,-,SAN JOS / AV. LAS NACIONES,334149.89,6289985.56,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,Ene-11/Cambia referencia,,
2046,2835,L-13-52-40-NS,PI190,PS,ACTIVO,MAIPé,I,AV. LAS NACIONES,SAN JOSE,AV. PORTALES,N-S,AV. PORTALES,AV. LAS NACIONES,-,-,AV. PORTALES / AV. LAS NACIONES,334133.6,6289826.59,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,5548,
2047,2836,L-13-52-45-SN,PI795,PS,INACTIVO,MAIPé,I,AV. LAS NACIONES,ERBIO,AV. PORTALES,S-N,AV. PORTALES,AV. LAS NACIONES,-,-,AV. PORTALES / AV. LAS NACIONES,334165.29,6289788.5,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Jun/2012-Retiro,,,10841,
2048,2837,L-13-52-50-NS,PI715,PS,ACTIVO,MAIPé,I,AV. LAS NACIONES,PSJE CERRO PANGATA,SUR,N-S,AV. SUR,AV. LAS NACIONES,-,-,AV. SUR / AV. LAS NACIONES,334079.64,6289427.65,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2049,2838,L-13-52-55-SN,,PS,INACTIVO,MAIPé,I,AV. LAS NACIONES,RADON,AV. LAS NACIONES,S-N,CURIO,AV. LAS NACIONES,-,-,CURIO / AV. LAS NACIONES,334121.1,6289418.8,0,,,,,,0,,SàLO SE¥AL,,L-13-76-70-SN,,,
2050,2839,L-13-53-5-OP,PI797,PS,ACTIVO,MAIPé,I,LAS TINAJAS,LOMAS DEL MAIP0,LA GALAXIA,O-P,LA GALAXIA,LAS TINAJAS,-,-,LA GALAXIA / LAS TINAJAS,333365.12,6290048.48,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2051,2840,L-13-53-10-OP,PI1342,PS,ACTIVO,MAIPé,I,LAS TINAJAS,PÖNDARO,NARCISO,O-P,NARCISO,LAS TINAJAS,-,-,NARCISO / LAS TINAJAS,333689.44,6290080.81,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,Mar-12/Cambia Referencia,,
2052,2841,L-13-53-10-PO,PI1453,PS,ACTIVO,MAIPé,I,LAS TINAJAS,PLUTARCO,LA GALAXIA,P-O,LA GALAXIA,LAS TINAJAS,-,-,LA GALAXIA / LAS TINAJAS,333323.63,6290037.32,0,,,,,,0,,SIN ANDN,UC-Mar/2011,,nov-10,,
2053,2842,L-13-53-15-OP,PI1343,PS,ACTIVO,MAIPé,I,LAS TINAJAS,PANGAL,SANTA ELVIRA,O-P,SANTA ELVIRA,LAS TINAJAS,-,-,SANTA ELVIRA / LAS TINAJAS,333914.21,6290099.5,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2054,2843,L-13-53-15-PO,PI713,PS,ACTIVO,MAIPé,I,LAS TINAJAS,PSJE 1,AV. 4 PONIENTE,P-O,AV. 4 PONIENTE,LAS TINAJAS,-,-,AV. 4 PONIENTE / LAS TINAJAS,333621.06,6290041.57,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2055,2844,L-13-53-20-PO,PI1231,PS,ACTIVO,MAIPé,I,LAS TINAJAS,SANTA ELVIRA,AV. SAN GREGORIO,P-O,SANTA ELVIRA,LAS TINAJAS,-,-,SANTA ELVIRA / LAS TINAJAS,333926.21,6290090.13,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,9362,
2056,2845,L-13-53-25-PO,PI1255,PS,ACTIVO,MAIPé,I,LAS TINAJAS,PANGAL,AV. LAS NACIONES,P-O,AV. LAS NACIONES,LAS TINAJAS,-,-,AV. LAS NACIONES / LAS TINAJAS,334133.34,6290096.73,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2057,2846,L-13-54-5-PO,PI1114,PS,ACTIVO,MAIPé,I,AV. LO ESPEJO,CAMINO A MELIPILLA,STA ADELA,P-O,SANTA ADELA,AV. LO ESPEJO,-,-,SANTA ADELA / AV. LO ESPEJO,338855.9,6289627.18,0,,,,,,1,REGULAR,CON REFUGIO,SERVIU-Dic/2010,,,,
2058,2847,L-13-54-10-OP,PI1119,PS,ACTIVO,MAIPé,I,AV. LO ESPEJO,CAMINO A LONQUEN,STA ADELA,O-P,SANTA ADELA,AV. LO ESPEJO,-,-,SANTA ADELA / AV. LO ESPEJO,338883.72,6289638.09,0,,,,,,1,REGULAR,CON REFUGIO,SERVIU-Dic/2010,,,,
2059,2848,L-13-54-15-PO,PI1115,PS,ACTIVO,MAIPé,I,AV. LO ESPEJO,STA ADELA,CAMINO A LONQUEN,P-O,ALT. 860,AV. LO ESPEJO,BODEGAS SAN FRANCISCO,-,BODEGAS SAN FRANCISCO,339210.99,6289459.84,0,,,,,,1,REGULAR,CON REFUGIO,SERVIU-Dic/2010,,,,
2060,2849,L-13-54-20-OP,PI1118,PS,ACTIVO,MAIPé,I,AV. LO ESPEJO,CAMINO A LONQUEN,STA ADELA,O-P,ALT. 860,AV. LO ESPEJO,BODEGAS SAN FRANCISCO,-,BODEGAS SAN FRANCISCO,339233.57,6289502.75,0,,,,,,1,REGULAR,CON REFUGIO,SERVIU-Dic/2010,,,,
2061,2850,L-13-54-25-PO,PI1116,PS,ACTIVO,MAIPé,I,AV. LO ESPEJO,STA ADELA,CAMINO A LONQUEN,P-O,CAMINO LONQUN,AV. LO ESPEJO,-,-,CAMINO LONQUN / AV. LO ESPEJO,339644.3,6289292.59,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2062,2851,L-13-55-5-SN,PI258,PS,ACTIVO,MAIPé,I,LONGITUDINAL,PABLO BURCHARD SUR,HUGO BRAVO,S-N,HUGO BRAVO,LONGITUDINAL,-,-,HUGO BRAVO / LONGITUDINAL,337507.47,6294690.07,0,,,,,,1,BUENO,CON REFUGIO,SERVIU-Dic/2010,,,,
2063,2852,L-13-55-10-NS,PI249,PS,ACTIVO,MAIPé,I,LONGITUDINAL,MARIA LUISA BOMBAL,ERICK VAN DYCK,N-S,ERICK VAN DYCK,LONGITUDINAL,-,-,ERICK VAN DYCK / LONGITUDINAL,337468.11,6294447.68,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2064,2853,L-13-55-15-SN,PI257,PS,ACTIVO,MAIPé,I,LONGITUDINAL,RAYEN QUITRAL,VAN DYCK,S-N,VAN DYCK,LONGITUDINAL,-,-,VAN DYCK / LONGITUDINAL,337494.74,6294411.03,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2065,2854,L-13-55-20-NS,PI250,PS,ACTIVO,MAIPé,I,LONGITUDINAL,REMBRANDT,STA ELENA,N-S,SANTA ELENA,LONGITUDINAL,-,-,SANTA ELENA / LONGITUDINAL,337456.13,6294265.97,0,,,,,,0,,SIN ANDN,SERVIU-Dic/2010,,,,
2066,2855,L-13-56-5-SN,PI533,PS,ACTIVO,MAIPé,I,LOS DIAMANTES,LAS ESPUELAS,MONTECASSINO,S-N,MONTECASSINO,LOS DIAMANTES,-,-,MONTECASSINO / LOS DIAMANTES,335913.9,6288946.51,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2067,2856,L-13-56-10-SN,PI532,PS,ACTIVO,MAIPé,I,LOS DIAMANTES,SILVIA PINTO,ALFREDO SILVA CARVALLO,S-N,A. SILVA CARVALLO,LOS DIAMANTES,-,-,A. SILVA CARVALLO / LOS DIAMANTES,335931.59,6288728.1,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2068,2857,L-13-56-15-SN,PI650,PS,ACTIVO,MAIPé,I,LOS DIAMANTES,ANIBAL JARA LETELIER,LUIS HERNANDEZ PARKER,S-N,LUIS HERNµNDEZ P.,LOS DIAMANTES,-,-,LUIS HERNµNDEZ P. / LOS DIAMANTES,335935.23,6288573.84,0,,,,,,0,,SIN ANDN,SERVIU-Dic/2010,,,,
2069,2858,L-13-56-20-SN,PI649,PS,ACTIVO,MAIPé,I,LOS DIAMANTES,VICTOR DOMINGO SILVA,PEPE ABAD,S-N,PEPE ABAD,LOS DIAMANTES,-,-,PEPE ABAD / LOS DIAMANTES,335937.41,6288369.41,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2070,2859,L-13-57-5-NS,PI1317,PS,ACTIVO,MAIPé,I,LOS TILOS,AV. 5 DE ABRIL,AV. ESQUINA BLANCA,N-S,AV. ESQUINA BLANCA,LOS TILOS,-,-,AV. ESQUINA BLANCA / LOS TILOS,339235.54,6290707.43,0,,,,,,1,BUENO,CON REFUGIO,SERVIU-Dic/2010,,,,
2071,2860,L-13-57-5-SN,PI879,PS,ACTIVO,MAIPé,I,LOS TILOS,AV. ESQUINA BLANCA,AV. 5 DE ABRIL,S-N,AV. 5 DE ABRIL,LOS TILOS,-,-,AV. 5 DE ABRIL / LOS TILOS,339291.64,6290794.8,0,,,,,,0,,SàLO SE¥AL,UC-Dic/2011-Reposici¢n,,,7838,
2072,2861,L-13-58-4-SN,PI1528,PS,ACTIVO,MAIPé,I,LUMEN,PRIMO DE RIVERA,ALASKA,S-N,ALASKA,LUMEN,-,-,ALASKA / LUMEN,338793.15,6292917.41,0,,,,,,0,,SIN REFUGIO,UC-Jun/2011,,mar-11,5282,
2073,2862,L-13-58-5-NS,PI1527,PS,ACTIVO,MAIPé,I,LUMEN,ALASKA,PRIMO DE RIVERA,N-S,PRIMO DE RIVERA,LUMEN,-,-,PRIMO DE RIVERA / LUMEN,338739.45,6292753.54,0,,,,,,0,,SIN REFUGIO,UC-Jun/2011,,mar-11,5283,
2074,2863,L-13-58-5-SN,PI824,PS,ACTIVO,MAIPé,I,LUMEN,CHANGOS,ATACAME¥OS,S-N,ATACAME¥OS,LUMEN,-,-,ATACAME¥OS / LUMEN,338723.8,6292590.62,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Jul/2011-Reposici¢n,,Jun-12/Cambia Referencia,6233,
2075,2864,L-13-58-10-NS,PI858,PS,ACTIVO,MAIPé,I,LUMEN,MOCTEZUMA,3 NORTE,N-S,MOCTEZUMA,LUMEN,-,-,MOCTEZUMA / LUMEN,338688.22,6292495.74,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,Jun-12/Cambia Referencia,,
2076,2865,L-13-58-15-NS,PI859,PS,ACTIVO,MAIPé,I,LUMEN,LA ADORACION,3 NORTE,N-S,3 NORTE,LUMEN,-,-,3 NORTE / LUMEN,338668.96,6292397.13,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2077,2866,L-13-58-20-SN,PI823,PS,ACTIVO,MAIPé,I,LUMEN,PALENQUE,3 NORTE,S-N,3 NORTE,LUMEN,-,-,3 NORTE / LUMEN,338704.1,6292360.48,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2078,2867,L-13-58-25-NS,PI860,PS,ACTIVO,MAIPé,I,LUMEN,MARIANO OSORIO,CARIBU,N-S,CARIBé,LUMEN,-,-,CARIBé / LUMEN,338603.57,6292079.98,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,3842,
2079,2868,L-13-58-30-NS,PI1482,PS,ACTIVO,MAIPé,I,LUMEN,ONTARIO,2 NORTE,N-S,2 NORTE,LUMEN,-,-,2 NORTE / LUMEN,338546.35,6291748.6,0,,,,,,0,,SàLO SE¥AL,UC-Mar/2011,,nov-10,5744,
2080,2869,L-13-58-30-SN,PI822,PS,ACTIVO,MAIPé,I,LUMEN,LAGO HURON,LOS VALLES,S-N,LOS VALLES,LUMEN,-,-,LOS VALLES / LUMEN,338629.44,6292038.92,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2081,2870,L-13-58-35-SN,PI821,PS,ACTIVO,MAIPé,I,LUMEN,SEBASTIAN ELCANO,VOLCAN TACORA,S-N,VOLCµN TACORA,LUMEN,-,-,VOLCµN TACORA / LUMEN,338575.26,6291697.58,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2082,2871,L-13-58-40-NS,PI863,PS,ACTIVO,MAIPé,I,LUMEN,EDIPO,G. PREZ LLONA,N-S,G. PREZ LLONA,LUMEN,-,-,G. PREZ LLONA / LUMEN,338484.5,6291457.9,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2083,2872,L-13-58-45-SN,PI819,PS,ACTIVO,MAIPé,I,LUMEN,JASON,EDIPO,S-N,G. PREZ LLONA,LUMEN,-,-,G. PREZ LLONA / LUMEN,338498.27,6291460.08,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2084,2873,L-13-58-50-SN,PI818,PS,ACTIVO,MAIPé,I,LUMEN,DELFOS,ZEUS,S-N,LOS LIBERTADORES,LUMEN,-,-,LOS LIBERTADORES / LUMEN,338467.86,6291288.26,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2085,2874,L-13-58-55-NS,PI864,PS,ACTIVO,MAIPé,I,LUMEN,LOS LIBERTADORES,PORTADA DEL ESTE,N-S,PORTADA DEL ESTE,LUMEN,-,-,PORTADA DEL ESTE / LUMEN,338435.93,6291195.64,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2086,2875,L-13-58-60-SN,PI817,PS,ACTIVO,MAIPé,I,LUMEN,FERROCARRIL,1 SUR,S-N,1 SUR,LUMEN,-,-,1 SUR / LUMEN,338410.11,6290968.26,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2087,2876,L-13-58-65-NS,PI865,PS,ACTIVO,MAIPé,I,LUMEN,FERNANDEZ,AV. 5 DE ABRIL,N-S,AV. 5 DE ABRIL,LUMEN,-,-,AV. 5 DE ABRIL / LUMEN,338394.12,6290934.19,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2088,2877,L-13-59-3-PO,PI442,PS,ACTIVO,MAIPé,I,MARQUS DE SANTILLANA,MARQUES DE SANTILLANA,CALLEJON DE LOS PERROS,P-O,C. DE LOS PERROS,MARQUS DE SANTILLANA,-,-,C. DE LOS PERROS / MARQUS DE SANTILLANA,336493.67,6295787.79,0,,,,,,0,,SàLO SE¥AL,UC-Mar/2012-Reposici¢n,,,6784,
2089,2878,L-13-59-5-SN,,PS,INACTIVO,MAIPé,I,MARQUS DE SANTILLANA,JOSE ZORRILLA,PARQUE EL GOLF,S-N,PARQUE EL GOLF,MARQUS DE SANTILLANA,-,-,PARQUE EL GOLF / MARQUS DE SANTILLANA,336532.87,6295557.24,0,,,,,,0,,SàLO SE¥AL,,,,,
2090,2879,L-13-60-5-NS,PI1018,PS,ACTIVO,MAIPé,I,MINISTRO ANTONIO VARAS,CALLEJON DE LOS PERROS,PARQUE EL GOLF NORTE,N-S,EL GOLF,MINISTRO ANTONIO VARAS,-,-,EL GOLF / MINISTRO ANTONIO VARAS,336878.3,6295557.42,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,,
2091,2880,L-13-60-10-NS,PI1019,PS,ACTIVO,MAIPé,I,MINISTRO ANTONIO VARAS,JUANITA WEBER,AV. EL DESCANSO,N-S,AV. EL DESCANSO,MINISTRO ANTONIO VARAS,-,-,AV. EL DESCANSO / MINISTRO ANTONIO VARAS,336840.2,6295276.98,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
2092,2881,L-13-60-15-SN,,PS,INACTIVO,MAIPé,I,MINISTRO ANTONIO VARAS,CERRO STA LUCIA,AV. EL DESCANSO,S-N,AV. EL DESCANSO,MINISTRO ANTONIO VARAS,-,-,AV. EL DESCANSO / MINISTRO ANTONIO VARAS,336855.74,6295231.88,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Oct/2011-Retiro,,,7253,
2093,2882,L-13-60-20-SN,,PS,INACTIVO,MAIPé,I,MINISTRO ANTONIO VARAS,MARIO RECORDON,AVES DEL PARAISO,S-N,AVES DEL PARAÖSO,MINISTRO ANTONIO VARAS,-,-,AVES DEL PARAÖSO / MINISTRO ANTONIO VARAS,336918.38,6294984.79,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Oct/2011-Retiro,,,7254,
2094,2883,L-13-61-5-OP,PI270,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL ORIENTE,MADRESELVAS,CALETERA CAMINO A MELIPILLA,O-P,CAMINO A MELIPILLA,PARQUE CENTRAL ORIENTE,-,-,CAMINO A MELIPILLA / PARQUE CENTRAL ORIENTE,333387.51,6285835.13,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Jul/2011-Instalaci¢n,,,5457,
2095,2884,L-13-61-10-OP,PI269,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL ORIENTE,LIQUIDAMBAR 4,LAGO DE COMO,O-P,LAGO DE COMO,PARQUE CENTRAL ORIENTE,-,-,LAGO DE COMO / PARQUE CENTRAL ORIENTE,333655.82,6285608.72,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Ene/2012-Instalaci¢n,,,8905,
2096,2885,L-13-61-15-SN,PI268,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL ORIENTE,EL JACARANDA,LAGO BOLSENA,S-N,LAGO BOLSENA,PARQUE CENTRAL ORIENTE,-,-,LAGO BOLSENA / PARQUE CENTRAL ORIENTE,333847.73,6285452.14,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,11128,
2097,2886,L-13-61-20-OP,PI267,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL ORIENTE,EL HELECHO NORTE,LAGO CASTELGANDOLFO,O-P,CASTELGANDOLFO,PARQUE CENTRAL ORIENTE,-,-,CASTELGANDOLFO / PARQUE CENTRAL ORIENTE,334051.41,6285251.9,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,11130,
2098,2887,L-13-61-25-OP,PI266,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL ORIENTE,LA CASCADA NORTE,LAGO DE LUGANO,O-P,LAGO DE LUGANO,PARQUE CENTRAL ORIENTE,-,-,LAGO DE LUGANO / PARQUE CENTRAL ORIENTE,334274.64,6285062.83,0,,,,,,1,BUENO,CON REFUGIO,SERVIU-Dic/2010,,,11125,
2099,2888,L-13-61-30-OP,PI265,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL ORIENTE,EL GOMERO,LAGO ALBANO,O-P,LAGO ALBANO,PARQUE CENTRAL ORIENTE,-,-,LAGO ALBANO / PARQUE CENTRAL ORIENTE,334564.89,6284803.83,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,11108,
2100,2889,L-13-61-35-OP,PI264,PS,ACTIVO,MAIPé,I,LAGO CAREZZA,EL GOMERO,PARQUE CENTRAL ORIENTE,O-P,PARQUE CENTRAL,LAGO CAREZZA,-,-,PARQUE CENTRAL / LAGO CAREZZA,334691.39,6284603.75,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,11122,
2101,2890,L-13-61-40-PO,PI314,PS,ACTIVO,MAIPé,I,LAGO CAREZZA,PARQUE SUR,PARQUE SUR,P-O,PARQUE SUR,LAGO CAREZZA,-,-,PARQUE SUR / LAGO CAREZZA,334975.99,6284414.94,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,11127,
2102,2891,L-13-63-5-NS,PI317,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,CALETERA CAMINO A MELIPILLA,LAGO BRACCIANO,N-S,LAGO BRACCIANO,PARQUE CENTRAL PONIENTE,-,-,LAGO BRACCIANO / PARQUE CENTRAL PONIENTE,333353.69,6285770.58,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,11104,
2103,2892,L-13-63-10-PO,PI307,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,LAS ARALIAS,LAGO DE COMO,P-O,LAGO DE COMO,PARQUE CENTRAL PONIENTE,-,-,LAGO DE COMO / PARQUE CENTRAL PONIENTE,333553.45,6285584.61,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,11103,
2104,2893,L-13-63-15-PO,PI308,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,EL BAMBU,LAGO BOLSENA,P-O,LAGO BOLSENA,PARQUE CENTRAL PONIENTE,-,-,LAGO BOLSENA / PARQUE CENTRAL PONIENTE,333758.28,6285401.57,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,11106,
2105,2894,L-13-63-20-PO,PI309,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,EL CACTUS,LAGO CASTELGANDOLFO,P-O,CASTELGANDOLFO,PARQUE CENTRAL PONIENTE,-,-,CASTELGANDOLFO / PARQUE CENTRAL PONIENTE,333996.42,6285189.39,0,,,,,,0,,SIN ANDN,SERVIU-Dic/2010,,,3824,
2106,2895,L-13-63-25-PO,PI310,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,LAS DIADEMAS,LAGO DE LUGANO,P-O,LAGO DE LUGANO,PARQUE CENTRAL PONIENTE,-,-,LAGO DE LUGANO / PARQUE CENTRAL PONIENTE,334206.52,6285003.35,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,11129,
2107,2896,L-13-63-30-PO,PI311,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,LAGO DE LUGANO,EUCALIPTUS,P-O,EUCALIPTUS,PARQUE CENTRAL PONIENTE,-,-,EUCALIPTUS / PARQUE CENTRAL PONIENTE,334335.3,6284884.14,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,11107,
2108,2897,L-13-63-35-PO,PI312,PS,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,EUCALIPTUS,LAGO ALBANO,P-O,LAGO ALBANO,PARQUE CENTRAL PONIENTE,-,-,LAGO ALBANO / PARQUE CENTRAL PONIENTE,334473.1,6284762.71,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,11126,
2109,2898,L-13-63-40-PO,PI1599,PD,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,LAGO ALBANO,EL FILODENDRO,P-O,EL FILODENDRO,PARQUE CENTRAL PONIENTE,COLEGIO LOS ALPES,3,PARADA 3 / COLEGIO LOS ALPES,334583.46,6284592.71,0,,,,1,Refugio 9(m),0,,CON REFUGIO,SERVIU-Feb/2012,,feb-12,1458,
2110,2899,L-13-63-45-PO,PI313,PD,ACTIVO,MAIPé,I,PARQUE CENTRAL PONIENTE,EL FILODENDRO,LAGO CAREZZA,P-O,LAGO CAREZZA,PARQUE CENTRAL PONIENTE,COLEGIO LOS ALPES,1,PARADA 1 / COLEGIO LOS ALPES,334665.97,6284574.61,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,11109,
2111,2900,L-13-64-5-NS,PI162,PS,ACTIVO,MAIPé,I,PDTE. GONZµLEZ VIDELA,NIQUEN,CERRO BLANCO,N-S,CERRO BLANCO,PDTE. GONZµLEZ VIDELA,-,-,CERRO BLANCO / PDTE. GONZµLEZ VIDELA,334291.21,6288020.22,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
